-....-..--..--..-....- -izmusa
----- 0
---------- 00
--------------- 000
-------------------- 0000
------------------------- 00000
------------------------------ 000000
----------------------------------- 0000000
---------------------------------------- 00000000
....--....--.... 4-be
..... 5
-....-....- 6-
-....------....- 60-
.--...---...--. adagig
.--....--....--. aduban
.--....--. adun
.--..---..--. adóig
.--..----..--. adóneme
.---.--.....--.---. aggság
.-..-. ain
.-.----.--.----.-. ajkkor
.--.-.-.-.-.--. akartan
.--.--..--.--. aknán
.--.--.---.--.--. aktján
.--.--.--.--. aktán
.---...---. amije
.--.--..-.-..--.--. angarán
.--.--...-...-...--.--. angélán
.-.-.-.-. arc
.-.....-. asin
.-.............-. assisin
.-----------. atomon
.-..-..-. auer
.-..-...-..-. austin
.-..-----..-. autóin
-....--....- baba
-....--.--....- bakba
-....--.-..-.--....- bakikba
-....-.-....- balit
-....-.-....- balú
-....----....- bamba
-....----....- bamba
-....--.-.--....- bankba
-....-.-.-....- barba
-....-....- basa
-....-...-.-...-....- baskíria
-.....- bea
-.............- beeshet
-......-...-...-......- beférhet
-.............- behív
-.....-.....-.....- belefest
-.....-........-.....- belehasít
-.....-.....- beleit
-.....-.....- belia
-....-.-.-.-.-.-....- benntartsa
-....---.-..-.---....- beoltatnia
-.....-.-.....- bertha
-..........- besiet
-.......--.......- beszív
-....-.--...-.-...--.-....- betanulása
-....-.-.-.-....- betartsa
-....-..-....- betelít
-....-.-....- betlit
-....----.----....- betojnia
-....-..-..-....- betétest
-.......-.......- bevihet
-....--....- bezit
-....--....--....- bezúdít
-......-...-......- beérhet
-.......-..-.......- beírassa
-.......-......-.......- beírhassa
-......- bia
-.....-.....- bibit
-.....-....-.....- biblia
-......-...-...-......- billenhet
-.....- bit
-.....----.....- bitósít
-....-....-....-....- blues-
-...----...- boda
-...----..----...- bodonit
-...-----...- bogit
-...-----...- bogú
-...----...- bonit
-...------...- boost
-...---.-.---...- borost
-...-------...- botost
-...-----...- boza
-....-..-.......-..-....- brassaiba
-....-...-.--..--.-...-....- bringásba
-....-...----...-....- brioniba
-....-...---...-....- briósba
-.....--.....- bubit
-....--.--....- bába
-....--.--....- bába
-....--.--.....--.--....- bábukba
-....--.--....--.--....- bábába
-....--.--..--..--.--....- bánatukba
-....--.-.-.-.-.--....- bárczit
